"publicid","name","street","zip","country","businessimageurl","canJoin"
"4df1b6ad-0b39-4bc9-a224-75c1ff3ce601","Dermaestetika Nina I. Hribar","Kotnikova 5,zunanja stran stavbe pri rentgenu","1000 Ljubljana","Slovenia","aa6a3b3a-6f9a-4174-a431-13127c577612.png",true
"02d2658f-48fa-49dd-b4d3-6f0b77bc5bd6","Dežela sprostitve Celje","Ul. Dušana Kvedra 38","3000 celje","Slovenia","'",true
"a2b2f98b-53bd-4e2f-8788-9a1fa6cb077c","D-GYM","","","Slovenia","'",true
"af1b87bb-2e5d-45d2-aefd-7a4d4f1cc4ff","Diva","","","Slovenia","'",true
"a73a30f1-781c-4a61-9bdd-5592906d49d2","Dotik narave","","","Slovenia","72f4831a-3337-4799-af46-36eaec654ef5.jpg",true
"9deacc48-c2d0-42e1-8960-dc61f5656a76","Energomed","Tbilisijska ulica 59","Ljubljana","Slovenia","ce273e95-c86e-4636-83e6-0fa1149d31aa.jpg",true
"1f57403b-03ed-48d7-9bb7-07b803986f0c","Estetika Eva","Šolska ulica 2","4220 Škofja Loka","Slovenia","5d8b37a4-0643-4f99-9d9d-65844e84b641.jpg",true
"1d09eee8-126c-4d8a-baff-0253e4d9cd16","Estetika Skins","Pohorska ulica 21B","Maribor","Slovenia","6f5dc40e-a4ed-4f87-9e38-9ce6c5df276a.jpg",true
"689e73f4-01c5-4de8-b446-84aa810b9236","ESTRADA STUDIO","Topniska 35a","","Slovenia","933ac650-2401-4c3c-9f80-388c9ebd027f.jpg",true
"4a131d88-d1b9-416f-808a-ca5f0a8def12","ESTYLE frizerski studio","Alpska cesta 37","4248 Lesce","Slovenia","bc380285-2d6a-4b70-a9e1-497e0a323355.jpg",true
"6583cba4-0a29-47ce-9d04-9012b6e9e6ae","EvaLates","Alpska cesta 43","4248 Lesce","Slovenia","16125f90-3446-4004-b609-1fbf676d0c2a.jpg",true
"287ef468-f3ae-4b1a-b5c4-ae76e0da1060","Evolucija Ljubljana","Litijska cesta 148","1000 Ljubljana","Slovenia","e520805c-9bfa-4398-b525-99f418dd3c03.jpg",true
"92915d94-7adf-4577-becd-54a8890828c5","Fit tovarna, ŠPORTNA DVORANA DUPLEK","KORENSKA CESTA 31","2241 SPODNJI DUPLEK","Slovenia","'",true
"f330d256-2887-461d-8be3-301f77848fe2","Fitnes Arena","","","Slovenia","471bd111-56b4-4e2e-b608-28fa53bc2ee3.jpg",true
"d9794460-09b3-4b16-803e-451aa715a4e1","FITNES CENTER STARFIT","LIPTOVSKA ULICA 34 ","SLOVENSKE KONJICE","Slovenia","'",true
"b98c21e5-e2b1-4957-89c4-2bca502bdd7e","Fitnes Elipsus","Industrijska ulica 4","2310 Slovenska Bistrica","Slovenia","77f75eea-55a0-489e-bfa2-0e2ea55894e8.png",true
"921ccf44-c1b0-4830-a597-f0107879ada9","Fitnes klub Elite, Denis Forštnarič s.p.","","","Slovenia","'",true
"43997a55-05c7-42ec-9f99-67c61c832c5b","Fitnes studio Forma","","","Slovenia","'",false
"889d4fbd-4514-40ac-b0fe-0202df5fad97","Fitzone","","","Slovenia","e6adfcef-db5d-410d-a025-b544552b7d1f.png",true
"d015336c-d9ab-4e20-98b2-1f166c842289","Fizio Tjaša","Potrčeva cesta 49","2250 Ptuj","Slovenia","'",true
"86b326e5-8164-4120-ad11-f6f5f3ed2514","FizioPET S.P.","","","Slovenia","'",true
"a6d52aca-2250-4ac7-bf36-c812c83bad6e","fizioterapija dobro počutje","prisojna 37","2000 Maribor","Slovenia","f241a763-3473-4dba-bab7-a54071c08b11.png",true
"ce63d3dd-6e8f-4e49-9609-800e4b754c0e","Fizioterapija Fokus","","","Slovenia","'",true
"367c8d71-f3e1-4700-b644-27b0a161914b","Fizioterapija Grosuplje d.o.o.","Brezje pri Grosupljem 70","1290 Grosuplje","Slovenia","'",true
"8c756f65-1d65-45de-bdda-27e2f2c586d3","FIZIOTERAPIJA NA NOGE S TJAŠO","Cesta Leona Dobrotinška 6","3230 Šentjur","Slovenia","96558754-6074-4a83-92d1-6946f9d0e8d1.png",true
"1d8c642e-5006-4cd2-a777-770d5704b830","Fizioterapija Soteum","","","Slovenia","9a1eeb9a-4799-4493-ae12-1d2ee04c2455.png",true
"74dd9599-0dce-48ce-98a2-ff78b3e5c783","Four.SPA","Pot za Brdom 4","1000 Ljubljana","Slovenia","69e5c2e7-10e4-4ccf-a2a1-800166202061.png",true
"64fad4b1-8c85-444c-bc01-407237fe9dd5","Frizerska postaja Amil","Oldhamska cesta 1a","4000 Kranj","Slovenia","a1703dc8-7755-4243-a5ee-4b50fa943f72.jpg",false
"f1792c89-5d1b-40a8-a569-ebf63aee2de2","Frizerski atelje B","Cesta krških žrtev 135b","8270 Krško","Slovenia","'",true
"c18db6fb-bb81-4ab6-93c9-83cff5cd81f0","frizerski atelje bojana","","","Slovenia","'",true
"3e74e486-bcde-4964-a9b2-dfa69c49297a","Frizerski salon Bellus","Turjak 17","1311 Turjak","Slovenia","d2a8c79d-7979-4c77-b10f-67a2f99e7836.jpg",true
"964e47ed-3033-42f3-ad9b-81f918258c0c","Frizerski salon Lenka","Pot v Smrečje 1","1231 Ljubljana - Črnuče","Slovenia","'",true
"cb5b5479-7c2b-489e-85a4-be7ca72077c8","FRIZERSKI SALON LIDIJA STYLING","Spodnji Slemen 40H","2352 Selnica ob Dravi","Slovenia","'",true
"97640e2c-20b4-422b-9590-21bb217fd31f","Frizerski salon N","Dunajska cesta 211","1000 Ljubljana","Slovenia","'",true
"dfe44faa-3848-49ae-916c-b8ade19b808c","Frizerski salon Stillas","Poljanska cesta 65a","4224 Gorenja vas","Slovenia","df367202-3ff1-473f-bcf6-2735b84705fc.jpg",true
"5f386284-3f73-4a2a-bead-951a57fd9472","Frizerski salon Urška Kolbe","Podvozna pot 29","1000 Ljubljana","Slovenia","856de102-cf72-45df-9e20-c7df36fdf5c0.png",true
"aeac758e-f483-4449-b563-2de262c3a5cb","Frizerski studio Najs","Cesta talcev 3b","4220 Škofja Loka","Slovenia","'",true
"cad10038-f549-4d2a-8018-463c8a451372","FRIZERSTVO BRIGITA","OSOJNIKOVA CESTA 3","2250","Slovenia","'",true
"d6180fac-3cc6-45ae-aa30-b69bc7086e2a","FS rač. storitve - fitnes in lepotni studio test","Ulica slovenske osamosvojitve 2","2000","Slovenia","'",true
"a9b8cfe6-955c-46c5-99b3-6619c3a66e25","FS, racunalniške storitve d. o. o.","Ulica bratov test 34","2310","Slovenia","'",true
"3261aaf0-7473-4fbb-97e8-3069478ea04e","Funkcionalna terapija Perko","","","Slovenia","'",true
"12d834ed-6472-46b9-8ab7-f29c32cb7b63","Galea vadbeni studio","","","Slovenia","'",true
"bf69ec0c-1c6b-43c2-b0a9-f83de5b4c0d2","GLAM lepotni studio","Ljubljanska cesta 26","Novo mesto","Slovenia","810991f7-ca01-4cad-8d4d-d409a0ea1ebf.png",true
"96cd2d79-3a89-4e04-8d0e-46dae9ea7818","Goddess Beauty Zone","Ulica 15. maja 16","6000 Koper","Slovenia","48c15ff3-de0e-4efe-96e5-2bd3322a2f4c.png",true
"3e1669c0-a2df-4994-8e99-208851e2cc46","Gym dobro počutje","Mariborska 1","1000 Ljubljana","Slovenia","e13f7c05-a505-4c8d-90d2-b458002522c8.jpg",true
"43f0d1ae-5e61-47a0-b74c-daeac826df6a","Hammam spa&gym","Ankaranska c. 5c","6000 Koper","Slovenia","'",true
"d3dca8f5-8a6c-49aa-9d61-54dd0e6f393e","Hiša kozmetike Lišparija","Ljubljanska cesta 16","1360 Vrhnika","Slovenia","bf630dc9-9a7e-4c1d-867a-65ca57188549.jpg",true
"ce9d1ff5-2f90-429f-9422-0717e0e2a47b","Hiša nege in lepote","","","Slovenia","'",true
"5347b2a7-0acb-40a2-8ce3-e0a1bfab0c44","Iconic Studio","Dunajska cesta 190","1000 Ljubljana","Slovenia","8eab9407-af6a-49da-9faa-4209e6f57eb7.jpg",true
"bf754fa1-820e-4786-8f11-100efaad03da","ILLUMÉ Center","Dupleška cesta 138","2000 Maribor","Slovenia","e9bb7e15-6f09-4038-8044-ab840d9cd35a.png",true
"f4b2d090-c8e1-4d8a-bbd9-dc7ee9638bd4","INFRAFIT","","","Slovenia","ff1f8fcc-6830-480d-b098-756ab698f17e.jpg",true
"16f50dae-a222-453b-8bc3-f9d2f7b8d6c0","Irena Kralj","Cesta borcev, 5a","Radomlje","Slovenia","'",true
"42f78048-5862-4ec2-9290-f1f61161ed1d","IRONSTAR GYM","Tržaška cesta 9","1360 Vrhnika","Slovenia","c6365c35-9a94-41d6-bbdb-0434c0b143e1.png",true
"4e8ca86b-9205-492a-95c8-3a7135ee6840","Izba lepote","","","Slovenia","'",true
"ec27e3e8-ffed-456a-b9a9-4a8dc1b895ab","Izberem sebe","","","Slovenia","12ec03df-1553-4cfe-9014-5e418af099fc.jpg",true
"532ab284-cff8-46af-9480-e88ddae1a2f3","Jafi d.o.o.","tvrhunc@gmail.com","6210 Sežana","Slovenia","'",true
"07795619-164e-4fad-96b1-1515b49efb3c","JEKLARNA - Center Zdravega Načina Življenja","Sinja Gorica 6","1360 Vrhnika","Slovenia","ed297274-f1e1-45f8-9a87-52e2d857e384.jpg",true
"c5b12315-ae68-4226-9b72-b010f7396687","JERNEJ VALENTIN LABAŠ S.P.","POD VINOGRADI 18","2000 MARIBOR","Slovenia","'",true
"30e628a2-f81e-417d-8238-845426b239f5","KALUNA, LEPOTNE IN ESTETSKE STORITVE","Ljubljanska cesta 6","2310 Slovenska Bistrica","Slovenia","62f308c4-89db-42ff-a079-e64e2aca92a7.PNG",true
"1a2459f0-2d31-44d6-b5d0-aae73b823a3e","Kincore, Rika Kerin, s.p.","","","Slovenia","'",true
"4900d999-79c5-4956-85fa-79d09767a623","KKwellness & spa","Cesta Borisa Kidriča 17","1410 Zagorje ob Savi","Slovenia","'",true
"2b30f6cb-afe3-4eeb-82cd-46abe4b47b25","Klara Andrejčič","Valvazorjev trg 6","Litija","Slovenia","db882b33-55dc-4e7f-85f3-75f0c4b44141.jpg",true
"4b37fdd7-3a61-4e7f-8df6-d463c2a2c1a6","KM LEPOTNI STUDIO","Šalek 89","3320 Velenje","Slovenia","cab785b0-cdeb-44eb-99a1-b08a014d126a.png",true
"d9f05d58-e60d-4b32-acd5-ef0736b3b878","Konjeniško društvo Marovt","","","Slovenia","d750587a-9ea9-4be1-a7b3-ebc099f1c67e.jpg",true
"156da783-bd2d-4c4b-a9f0-35da0b2cad8a","Kora gib, zavod za kulturo gibanja","Forme 19A","4209 Žabnica","Slovenia","b08b13df-b5bf-4c49-8efc-7986abd22c22.png",true
"d69c5714-d226-4dae-ac2e-0452953b19a0","KOSI INVEST D.O.O.","Goriška cesta 46c","3320 Velenje","Slovenia","'",true
"da29a8f9-8722-46f0-90bc-605bff2b4c07","Kotiček lepote","","","Slovenia","'",true
"ce5dcf0b-6957-483c-8a3e-441a827c22b6","Nails&lashes by Nely B.","","","Slovenia","'",true
"8300b001-7289-4644-82e8-e482e5543997","Kozmetične storitve, Rebeka Škerl s.p.","","","Slovenia","'",true
"07b5035c-0bb9-404b-ad09-f9ae58300c91","Kozmetični salon Adora","Šmartinska cesta 56e","1000 Ljubljana","Slovenia","410dcb22-0367-415c-b9ca-2dd3c8aae770.png",true
"242c999b-1a91-4a3a-bdd9-8cf88080dfea","Kozmetični salon As BTC","Francoska ulica 15","Ljubljana","Slovenia","'",true
"3dfd9962-be65-4edf-b99a-ee894920961f","Kozmetični salon Berni","Levstikova 14","1000 Ljubljana","Slovenia","'",true
"7241ffb7-0935-45b2-b2d9-5d1b23df7c55","Kozmetični salon Brillant","Tržaška cesta 80a","1370 Logatec","Slovenia","e07188f4-c974-4e14-a262-94caaf36b658.jpg",true
"5e459ed8-df7a-4406-9116-0be9d22bc938","Kozmetični salon F.L.Y.","Cesta Miloša Zidanška 8A","3230 Šentjur","Slovenia","1c5add7b-ecfe-4be6-ab78-c20c1bd2c369.jpg",true
"c9d254e5-e287-43dd-85f1-024784d45b53","Kozmetični salon Flores","","","Slovenia","'",true
"6b56adc1-dc84-469b-b760-8aa05790dcbe","Kozmetični salon La Fille","","","Slovenia","'",true
"1365a72b-0b31-4a95-9926-fe386d27b033","Neguj.se","","","Slovenia","64aca179-a243-4331-abcc-6970e674ffb9.png",true
"92fb0264-455d-4993-a430-841eb85e1aa0","Kozmetični salon Ninna","","","Slovenia","'",true
"edec5cf3-c660-4263-97e5-5cf57d6acabb","Kozmetični salon Spa Luna","Dunajska cesta 111 a","1000 Ljubljana","Slovenia","f3318dbe-f631-4520-b08d-f47347fc505f.png",true
"72da0a3e-9ccf-4e62-b580-ddc161a56775","Kozmetika Patricija","","","Slovenia","'",false
"144b3dac-70ba-48ba-a2cd-be7901080720","La vida","Kolodvorska cesta 21","6230 Postojna","Slovenia","032ab022-45a4-43ef-82d0-f84134fb870f.png",true
"cd9a20d3-f86a-44d4-8f53-a7a495091fe4","LAVRIČ MARINKA SP","CESTA TONETA KRALJA 8","1290 GROSUPLJE","Slovenia","b39c05a3-2fbf-45dd-a700-adaaf84a45b2.jpg",true
"6f19eef8-1533-4e80-a420-dc00749df75d","LC STUDIO","","","Slovenia","'",true
"cfa2fa33-2303-49ff-9ea5-19f24a46da72","LEPOTIJA","","","Slovenia","'",true
"7a1567b8-0999-4c66-83ce-f0cf1ca76af1","Lepotni center Aloe Vera","Kajuhova ulica 5B","1000 Ljubljana","Slovenia","1d12916b-490e-4690-b92f-7f28ab7763f5.png",true
"9f3137f6-d9c4-4ea9-ade1-344f61275ee0","Lepotni kotiček  Naviana, Nastja Vuga s.p.","Koroška cesta 2","Radlje ob Dravi","Slovenia","'",true
"6e23d087-9efc-40a4-a821-0846e43ee090","Lepotni raj","Beblerjev trg 2","1000 Ljubljana","Slovenia","'",true
"e9983700-5023-4a0a-b903-f38cb93a41a7","Lepotni salon Katarina","Trubarjeva cesta 5","8310","Slovenia","'",true
"a48a3854-b538-4af0-b25f-137c9018a825","Lepotni salon Mistika","Trg Sv. Ahacija 7","5280 Idrija","Slovenia","8c274e2b-36b4-4537-98dc-27a787dd3560.jpg",true
"f3211ea5-d97d-4db0-9563-9a66ed1e4a04","lepotni salon wow","Prisojna 37","2000 Maribor","Slovenia","1beb2829-8339-40f8-92e0-95832f12f2d5.png",true
"9a2955f5-21c5-4628-9e67-06158ddb1f35","LIRIS d.o.o.","Zadružna ulica 1","2310 Slovenska Bistrica","Slovenia","86d4d224-989f-4873-96ca-744177205810.jpg",true
"936ce9f0-b8c4-43b7-81f9-c0b15f81de4c","LJUBLJANA","","","Slovenia","'",true
"19be855a-51bf-4251-a0a5-053cc9172405","M - KOZMETIKA","Cesta v Mestni log 55","1000 Ljubljana","Slovenia","6293a028-32de-423c-b0a5-d4145d112596.jpg",true
"e6e098d5-7fb2-4749-a143-7ca9d99a858c","M FIT center","Dobja vas 16a","Ravne na Koroškem","Slovenia","47ca91bb-8977-4ee2-9bf0-a53cd3395ea6.jpg",true
"43619a0f-a2db-4a29-b781-2a5bc9cb9d83","MaderoDeja","","","Slovenia","'",true
"daa39a72-be7d-4a3b-a028-423961835d22","Maia'S Hair studio","Trg Franca Kozarja 14","1430 Hrastnik","Slovenia","'",true
"dac9dfd8-c222-4125-9ce3-7d1a50ab9d9d","ManiPediSpa","","","Slovenia","704fddf9-e307-4f6e-85c1-c9526a1e085f.png",true
"7887eaf4-dd06-43af-a193-aa67fcdb1d6f","Manualne in kineziološke storitve MIKS, Eva Lenart","Ptujska cesta 19","1000 Ljubljana","Slovenia","'",true
"e75184c3-8d8b-4637-b0dd-13f0dedc4a46","Masaža Urban Komac s.p.","","","Slovenia","'",true
"c9880626-d408-437b-832e-f018ad708c5a","Masaze Peter","","","Slovenia","'",true
"53111133-ea4f-4fea-8a89-662a4c92c54c","Masaže pri Joštu","Partizanska ul. 27","2310 Slovenska Bistrica","Slovenia","'",true
"2e5e72d2-4eaf-44f3-b619-669d92031737","Masažni studio Meridian","Bezuljak 11","1382 Begunje pri Cerknici","Slovenia","'",true
"f657ccd2-bba1-40de-a080-4ffde7c2bd7f","Masažno lepotni studio Modrost, Maja Kampl s.p ","","","Slovenia","'",true
"1757e606-bb55-43fa-8b82-0bdf8802f9d0","Medimove","","","Slovenia","c82a903a-faed-4a0d-8f57-845728af285f.jpg",true
"498eaf49-73d1-49fc-811e-3ab41f644356","MESTO ZDRAVJA","Litijska cesta 100","Ljubljana","Slovenia","67d42541-17ee-4fa4-a725-a9aca5527e47.jpg",true
"dadae918-01dd-45d0-b3bb-e6b5b3d5ecd6","Mika Pedikura","Čopova 9b","Slovenska Bistrica","Slovenia","'",true
"157fc7d2-215c-42b1-9612-b4cadf452119","MOOD UP","Seidlova cesta 42"," 8000 Novo mesto","Slovenia","8d09eb2c-d8ec-42d1-9b29-216f207b64d0.PNG",true
"bdd7e883-1a3e-4e66-8eda-e450b35593d1","Motion Lab","","","Slovenia","6a58f771-23c7-489f-8ccb-50ee1b491c5b.jpg",true
"e84eac1b-846f-48b0-9054-cf818338efeb","MP ZONE d.o.o.","V drago 16","2000 Maribor","Slovenia","124aadfd-01cc-4e70-b8db-4618b127dbb5.jpg",true
"4d0318a8-7d7a-4d61-ad6f-6531029cabc6","Mqueen nohtni studio","","","Slovenia","'",true
"1b1e5cf9-d77e-4101-8e75-978add9ac4b2","MS Zlate roke","","","Slovenia","'",true
"af12bb7a-3fbf-41e0-9323-c832c883d608","Mstyle","Prvomajska ulica 25","2000 Maribor","Slovenia","'",true
"4357c8fc-1d28-4b4f-be4f-9e1d1c8047f7","Must have braids s.p.","Krčevina pri Vurbergu 44","2250 Ptuj","Slovenia","8fc86855-c536-4c16-bb9d-87f43b0fc017.jpg",true
"2dc79fe6-993f-44a6-ba4b-aeb6f26fd124","MyPlanly intensio","Prisojna 37","2000 Maribor","Slovenia","'",true
"8e1c2ee3-de0c-4a6b-8e10-736be74d964f","nfs avtoservis","","","Slovenia","'",true
"9c45daec-9dcc-4c6f-9641-0358da7f17c8","Nizki Start","","","Slovenia","'",true
"056c6d0c-5e6e-4033-bef3-27b502416282","Nnails, manikura, Neža Klinec s.p.","Pot heroja trtnika 12","Dobrunje","Slovenia","'",true
"cf8f6943-e3d6-4bc7-8d92-06a56d03d415","Norbit keramika & ogrevanje","Vojkova cesta 61","5000 Nova Gorica","Slovenia","510c6dbf-265b-42e0-a317-a756ccff2af1.png",true
"aba226e9-b13b-48f5-b8e4-875ccb5e5f59","NOVA fizioterapija","","","Slovenia","ae353af6-c7b3-4af2-92c9-072e812276af.png",true
"d8d5a3a5-4ad2-46be-9a20-244444a3de2a","NVR brow studio","Komenskega ulica 2","2000 Maribor","Slovenia","'",true
"848b99c4-ae67-4074-a5b2-6646d1a97867","OAZA KOSEZE","Ulica bratov Učakar 56","1000 Ljubljana","Slovenia","bd977047-881d-437b-b886-f4c891797ad3.png",true
"80c8a419-24fd-464e-971f-149e6e33088c","Odskočnica","","","Slovenia","'",true
"a94a300c-c558-41fc-9d1b-9556cfb1ad3e","Osebno trenerstvo žiga Klokočovnik s.p.","","","Slovenia","'",true
"364372a0-0a83-4d01-9658-5d02c3437265","PASJI SALON Loti","Cesti 4.maja 47a","Cerknica","Slovenia","'",true
"3cbabda1-6f7a-403c-8664-795dac80ff89","Pedi center+","","","Slovenia","'",true
"407f00f8-cc78-484e-a3b7-1f478fd7e2f8","PEDISAN, MEDICINSKI CENTER NEGE STOPAL","Pohorska ul. 21b","2000","Slovenia","'",true
"72dde0ee-a558-47cc-a7ed-ba376cb4dcc8","Pedistar Špela Milavec","Vodnikova cesta 187","1000 Ljubljana","Slovenia","'",true
"e63b6cd6-429b-471a-b9c7-897c7195acb8","Petra Hojak s.p.","Masarykova cesta 14","1000 Ljubljana","Slovenia","cc7889fb-5002-44d3-b314-964155fd0bfa.jpg",true
"bee87ca4-8c28-4301-b76c-3095c8e5e5e5","PikBox","Predilniška ulica 3","2000","Slovenia","'",true
"5fdd40a3-fdef-4976-b37c-b41de515775d","Playbox","","","Slovenia","'",true
"7b7aff24-be96-4558-8239-055c19311613","PRELEST, Mateja Stojko s.p.","Gerečja vas 37g","2288 Hajdina","Slovenia","'",true
"22155b0b-d1b8-4a1d-8619-8997ba24ead9","Queens nails","","","Slovenia","'",true
"5d8f902b-c528-4d75-8482-066d321612a0","račun 3 2021 noč janc anja","ŽELEZNIŠKA ULICA 5","LESCE","Slovenia","'",true
"60352b30-281f-4c81-a406-431ef8829eec","REA masaže","Hruševska cesta 144","Ljubljana - Dobrunje","Slovenia","d3c18fa3-0e8e-4f21-8b03-c43ea34e6e51.jpg",true
"a02e5c77-218a-4c73-95a8-7f58dc6432f8","Rekreativni center Simon","","","Slovenia","'",true
"6acd61be-a7a2-4a37-a434-c9452a067061","RELAX AND BEAUTY","kolodvorska ulica 1","8270","Slovenia","231ff379-7b9c-4251-bc36-91fa1c19f28c.jpg",true
"f534763d-408d-417d-9c39-88b4942ddbd1","Revive salon","","","Slovenia","'",true
"d520d777-65a5-49fe-957c-8f148bd923b8","RINK d.o.o.","Pregljev trg 6","5220 Tolmin","Slovenia","bdca1cc4-771f-4125-9b8b-59adbc4bd0d3.jpg",true
"94c889ec-d930-4fd3-a567-8b14c50b9765","Roni, Rok Rošer s.p.","","","Slovenia","'",true
"623d628c-9273-4cb7-8177-5ad2301c1562","Roni's hotel","Trnava 1a","3303 Gomilsko","Slovenia","e9675dc8-cfab-4521-af26-61ba8530dc05.jpg",true
